Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Category One Defects,Category Two Defects
8.58,8.5,8.42,8.58,8.25,8.42,10,10,10,8.58,0,89.33,0,3
8.5,8.5,7.92,8,7.92,8.25,10,10,10,8.5,0,87.58,0,0
8.33,8.42,8.08,8.17,7.92,8.17,10,10,10,8.33,0,87.42,0,2
8.08,8.17,8.17,8.25,8.17,8.08,10,10,10,8.25,0,87.17,0,0
8.33,8.33,8.08,8.25,7.92,7.92,10,10,10,8.25,0,87.08,0,2
8.33,8.33,8.25,7.83,7.83,8.17,10,10,10,8.25,0,87,0,2
8.33,8.17,8.08,8,7.83,8.25,10,10,10,8.25,0,86.92,0,0
8.25,8.25,8.17,8,7.92,8.08,10,10,10,8.08,0,86.75,0,1
8.08,8.08,8.25,8.08,7.92,8,10,10,10,8.25,0,86.67,0,0
8.08,8.17,8.08,8.17,8,8,10,10,10,8,0,86.5,0,0
8.08,8.25,8,8.08,7.92,7.92,10,10,10,8,0,86.25,0,1
8.08,8,8,7.75,8.25,8.17,10,10,10,8,0,86.25,0,1
8.08,8,8.08,8.08,8,8,10,10,10,8,0,86.25,0,0
7.67,8.17,8,8.33,8,8,10,10,10,8,0,86.17,0,2
8.08,8,8.08,7.92,8.08,8,10,10,10,8,0,86.17,0,0
8.17,8.08,8,7.92,8,7.92,10,10,10,8,0,86.08,0,0
8.17,8.08,7.92,8.17,7.75,7.92,10,10,10,8.08,0,86.08,0,2
8,8.17,8,7.92,7.92,7.92,10,10,10,8.17,0,86.08,0,0
8.08,8.17,7.75,7.92,7.83,8,10,10,10,8.17,0,85.92,0,1
8.17,8,7.92,7.92,8.17,7.75,10,10,10,7.92,0,85.83,0,0
8,7.92,8.08,7.92,7.75,8,10,10,10,8.08,0,85.75,0,0
8.08,8,7.92,7.92,8,7.83,10,10,10,7.92,0,85.67,0,0
7.67,8,7.83,8,8.08,8,10,10,10,8.08,0,85.67,0,5
8.08,8,7.83,8.17,7.75,7.83,10,10,10,8,0,85.67,0,2
7.83,8,7.92,8,8,7.92,10,10,10,7.92,0,85.58,0,0
7.83,8.08,7.83,7.92,8,7.83,10,10,10,8,0,85.5,2,3
7.92,7.92,8,7.92,7.83,7.92,10,10,10,8,0,85.5,0,2
8.17,8.08,7.92,8,7.58,7.83,10,10,10,7.92,0,85.5,0,0
8,8,8,7.92,7.75,7.92,10,10,10,7.92,0,85.5,0,0
8,7.92,8,7.83,7.67,8,10,10,10,8,0,85.42,0,0
8,8,7.83,7.83,7.75,7.92,10,10,10,8.08,0,85.42,0,0
7.92,8,7.83,7.92,7.83,7.83,10,10,10,8,0,85.33,0,0
8.08,8.17,7.67,7.83,7.67,7.92,10,10,10,8,0,85.33,0,0
7.67,7.83,7.83,8,8,8,10,10,10,8,0,85.33,0,3
8,8.08,8,8,7.67,7.75,10,10,10,7.83,0,85.33,0,4
7.92,7.75,7.83,8.17,8,7.75,10,10,10,7.83,0,85.25,0,1
8,7.92,7.83,7.92,7.83,7.83,10,10,10,7.92,0,85.25,0,0
8.25,8.08,7.83,7.75,7.67,7.75,10,10,10,7.92,0,85.25,0,0
8.17,7.75,7.83,7.58,7.92,8,10,10,10,8,0,85.25,0,1
7.75,7.92,7.75,8,7.83,7.92,10,10,10,8,0,85.17,0,0
8,7.92,7.83,7.92,7.75,7.75,10,10,10,7.92,0,85.08,0,0
8,8.08,7.67,7.75,7.92,7.83,10,10,10,7.83,0,85.08,0,0
8,7.92,7.67,8,7.75,7.83,10,10,10,7.92,0,85.08,0,5
8,7.92,7.75,7.75,7.75,7.92,10,10,10,7.92,0,85,0,1
7.92,8,7.92,8,7.58,7.75,10,10,10,7.83,0,85,0,0
8.17,8.08,7.83,7.67,7.67,7.75,10,10,10,7.83,0,85,0,0
7.67,8.08,7.67,8,7.92,7.83,10,10,10,7.83,0,85,0,1
7.67,8,7.75,7.92,8,7.83,10,10,10,7.83,0,85,0,4
7.83,7.92,7.75,8,7.75,7.75,10,10,10,7.92,0,84.92,0,1
7.92,7.92,7.83,7.83,7.75,7.83,10,10,10,7.83,0,84.92,0,2
8,8,7.75,7.75,7.67,7.75,10,10,10,7.92,0,84.83,0,0
7.83,7.92,7.75,7.83,7.83,7.83,10,10,10,7.83,0,84.83,0,2
8,8,7.83,7.83,7.58,7.83,10,10,10,7.75,0,84.83,0,0
7.92,7.75,7.75,7.92,7.83,7.83,10,10,10,7.83,0,84.83,0,0
7.83,7.83,7.67,7.67,7.83,8,10,10,10,8,0,84.83,0,0
7.67,7.92,7.92,7.83,7.75,7.83,10,10,10,7.83,0,84.75,0,0
7.83,7.92,7.75,7.92,7.67,7.83,10,10,10,7.83,0,84.75,0,5
7.83,7.83,7.75,7.92,7.83,7.75,10,10,10,7.83,0,84.75,0,5
7.92,8.08,7.67,7.92,7.67,7.75,10,10,10,7.75,0,84.75,0,0
7.67,8,7.67,7.83,7.92,7.67,10,10,10,7.92,0,84.67,0,1
7.83,8,7.67,7.83,7.75,7.75,10,10,10,7.83,0,84.67,0,2
7.58,7.83,7.5,7.67,7.83,7.67,10,10,10,8.58,0,84.67,0,2
7.83,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0,84.58,0,0
8.17,7.83,7.67,7.83,7.67,7.67,10,10,10,7.75,0,84.58,0,0
7.92,7.75,7.67,7.67,7.83,7.75,10,10,10,8,0,84.58,1,2
8.08,7.83,7.67,7.67,7.67,7.75,10,10,10,7.92,0,84.58,0,2
7.83,8,7.67,7.75,7.67,7.75,10,10,10,7.92,0,84.58,0,0
8,7.83,7.75,7.67,7.58,7.83,10,10,10,7.92,0,84.58,0,0
7.75,7.83,7.67,7.83,7.75,7.75,10,10,10,7.92,0,84.5,0,0
7.75,7.92,7.83,7.75,7.75,7.75,10,10,10,7.75,0,84.5,0,0
7.83,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84.5,0,3
7.92,7.83,7.75,7.92,7.58,7.67,10,10,10,7.83,0,84.5,0,9
8.08,7.92,7.75,7.83,7.5,7.58,10,10,10,7.83,0,84.5,0,0
7.83,8,7.5,7.75,7.75,7.75,10,10,10,7.83,0,84.42,0,1
7.67,7.83,7.75,7.75,7.83,7.75,10,10,10,7.75,0,84.33,0,5
7.92,7.83,7.75,7.92,7.5,7.67,10,10,10,7.75,0,84.33,3,7
7.83,7.75,7.58,7.92,8,7.5,10,10,10,7.75,0,84.33,0,4
7.83,7.83,7.83,7.83,7.67,7.67,10,10,10,7.67,0,84.33,0,4
7.75,7.75,7.75,7.75,7.83,7.67,10,10,10,7.83,0,84.33,0,1
7.67,7.67,7.83,7.83,7.67,7.75,10,10,10,7.83,0,84.25,0,1
7.58,7.92,7.67,7.75,7.83,7.75,10,10,10,7.75,0,84.25,0,1
7.92,7.92,7.58,7.75,7.58,7.67,10,10,10,7.83,0,84.25,0,0
7.75,7.75,7.58,7.83,7.75,7.75,10,10,10,7.75,0,84.17,0,2
7.58,7.92,7.58,7.83,7.75,7.67,10,10,10,7.75,0,84.08,0,2
7.83,7.92,7.83,7.58,7.58,7.67,10,10,10,7.67,0,84.08,0,2
7.92,7.75,7.67,7.75,7.75,8,9.33,10,10,7.92,0,84.08,0,0
7.67,7.83,7.67,7.83,7.75,7.67,10,10,10,7.67,0,84.08,0,2
7.67,7.92,7.67,7.75,7.67,7.58,10,10,10,7.75,0,84,0,2
7.75,7.75,7.75,7.67,7.75,7.67,10,10,10,7.67,0,84,0,0
7.58,7.67,7.75,7.75,7.75,7.75,10,10,10,7.75,0,84,0,3
8,7.75,7.5,7.67,7.67,7.67,10,10,10,7.75,0,84,1,1
7.75,7.58,7.58,7.92,7.67,7.75,10,10,10,7.75,0,84,0,2
7.67,7.83,7.58,7.92,7.67,7.67,10,10,10,7.67,0,84,0,3
7.67,7.92,7.58,7.75,7.67,7.58,10,10,10,7.75,0,83.92,0,2
7.83,7.83,7.58,7.67,7.67,7.58,10,10,10,7.75,0,83.92,0,0
7.58,7.83,7.58,7.75,7.67,7.75,10,10,10,7.75,0,83.92,0,2
7.75,7.67,7.58,7.75,7.75,7.67,10,10,10,7.75,0,83.92,0,3
7.67,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,0,83.83,0,1
7.58,7.83,7.67,7.67,7.67,7.67,10,10,10,7.75,0,83.83,0,4
7.58,7.92,7.5,7.67,7.75,7.67,10,10,10,7.75,0,83.83,0,4
7.83,7.67,7.5,7.92,7.5,7.67,10,10,10,7.75,0,83.83,0,12
7.92,7.75,7.42,7.58,7.92,7.67,10,10,10,7.58,0,83.83,2,5
7.67,7.92,7.58,7.58,7.58,7.75,10,10,10,7.75,0,83.83,0,3
7.67,7.92,7.67,7.58,7.67,7.67,10,10,10,7.58,0,83.75,0,1
7.67,7.67,7.58,7.67,7.83,7.58,10,10,10,7.75,0,83.75,4,12
7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,0,83.67,1,9
7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,0,83.67,0,0
7.83,7.83,7.67,7.58,7.58,7.58,10,10,10,7.58,0,83.67,0,1
7.58,7.75,7.67,7.83,7.5,7.67,10,10,10,7.67,0,83.67,0,0
7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.67,0,83.67,0,1
7.58,7.67,7.5,7.75,7.75,7.67,10,10,10,7.67,0,83.58,0,0
7.58,7.75,7.58,7.75,7.58,7.67,10,10,10,7.67,0,83.58,0,0
7.58,7.83,7.58,7.67,7.58,7.58,10,10,10,7.75,0,83.58,0,4
7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,0,83.5,0,5
7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,0,83.5,0,2
7.42,7.83,7.58,7.67,7.67,7.75,10,10,10,7.58,0,83.5,0,0
7.42,7.42,7.42,8,7.92,7.67,10,10,10,7.67,0,83.5,0,11
7.67,7.67,7.5,7.67,7.58,7.67,10,10,10,7.67,0,83.42,0,0
7.75,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0,83.42,0,3
7.75,7.92,7.67,7.92,7.75,7.83,8.67,10,10,7.92,0,83.42,0,0
7.75,7.67,7.58,7.5,7.67,7.5,10,10,10,7.67,0,83.33,0,5
7.58,7.67,7.5,7.75,7.5,7.58,10,10,10,7.75,0,83.33,0,0
7.5,7.75,7.58,7.75,7.67,7.58,10,10,10,7.5,0,83.33,0,0
7.58,7.67,7.58,7.75,7.42,7.58,10,10,10,7.75,0,83.33,0,1
7.67,7.67,7.42,7.75,7.5,7.75,10,10,10,7.58,0,83.33,0,0
7.58,7.75,7.42,7.67,7.5,7.75,10,10,10,7.67,0,83.33,0,3
7.75,7.83,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.33,0,1
7.92,7.92,7.75,7.33,7.58,7.5,10,10,10,7.33,0,83.33,0,16
7.92,7.67,7.42,7.5,7.67,7.58,10,10,10,7.5,0,83.25,0,8
7.58,7.5,7.5,7.83,7.67,7.5,10,10,10,7.67,0,83.25,0,4
7.75,7.75,7.58,7.67,7.42,7.5,10,10,10,7.58,0,83.25,0,1
7.67,7.67,7.58,7.67,7.58,7.58,10,10,10,7.5,0,83.25,0,2
7.67,7.75,7.67,7.58,7.5,7.58,10,10,10,7.5,0,83.25,0,3
7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,0,83.25,0,5
7.75,7.75,7.5,7.75,7.5,7.42,10,10,10,7.5,0,83.17,0,2
7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.67,0,83.17,0,0
7.67,7.75,7.33,7.67,7.58,7.5,10,10,10,7.58,0,83.08,0,7
7.67,7.67,7.5,7.58,7.58,7.5,10,10,10,7.58,0,83.08,0,7
7.75,7.58,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.08,0,2
8,7.67,7.42,7.58,7.58,7.42,10,10,10,7.33,0,83,0,1
7.5,7.67,7.58,7.58,7.5,7.5,10,10,10,7.58,0,82.92,0,0
7.75,7.5,7.42,7.67,7.58,7.5,10,10,10,7.5,0,82.92,2,1
7.58,7.5,7.5,7.67,7.58,7.5,10,10,10,7.58,0,82.92,0,3
7.67,7.5,7.42,7.75,7.42,7.58,10,10,10,7.58,0,82.92,0,0
7.67,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0,82.83,0,4
7.17,7.92,7.58,7.5,7.58,7.67,10,10,10,7.42,0,82.83,0,5
7.58,7.42,7.58,7.5,7.67,7.75,10,10,10,7.33,0,82.83,0,4
7.33,7.58,7.25,7.33,7.75,8.17,10,10,10,7.33,0,82.75,5,1
7.33,7.5,7.25,7.92,7.75,7.58,10,10,10,7.42,0,82.75,0,1
7.58,7.67,7.58,7.5,7.33,7.5,10,10,10,7.5,0,82.67,0,2
7.33,7.58,7.58,7.5,7.67,7.67,10,10,10,7.33,0,82.67,1,0
7.5,7.58,7.5,7.42,7.5,7.58,10,10,10,7.58,0,82.67,0,0
7.67,7.58,7.33,7.5,7.58,7.5,10,10,10,7.5,0,82.67,0,2
7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,7.5,0,82.58,0,0
7.67,7.58,7.42,7.42,7.5,7.5,10,10,10,7.5,0,82.58,0,2
7.5,7.58,7.42,7.58,7.5,7.58,10,10,10,7.42,0,82.58,0,0
7.67,7.33,7.17,7.67,7.83,7.5,10,10,10,7.33,0,82.5,0,2
7.75,7.67,7.17,7.67,7.42,7.42,10,10,10,7.42,0,82.5,0,0
7.5,7.58,7.5,7.5,7.67,7.42,10,10,10,7.33,0,82.5,0,1
7.33,7.58,7.5,7.5,7.5,7.58,10,10,10,7.5,0,82.5,0,1
7.67,7.42,7.5,7.5,7.67,7.42,10,10,10,7.33,0,82.5,0,0
7.58,7.58,7.33,7.5,7.58,7.42,10,10,10,7.5,0,82.5,0,8
7.42,7.42,7.58,7.42,7.58,7.5,10,10,10,7.58,0,82.5,0,2
7.58,7.58,7.42,7.42,7.5,7.5,10,10,10,7.42,0,82.42,0,0
7.5,7.5,7.33,7.5,7.5,7.42,10,10,10,7.58,0,82.33,0,0
7.5,7.5,7.42,7.42,7.42,7.67,10,10,10,7.42,0,82.33,0,10
7.33,7.67,7.25,7.67,7.83,7.42,10,10,10,7.17,0,82.33,0,0
7.67,7.58,7.42,7.5,7.33,7.42,10,10,10,7.42,0,82.33,0,1
7.67,7.5,7.33,7.58,7.33,7.42,10,10,10,7.42,0,82.25,0,3
7.75,7.42,7.33,7.5,7.33,7.5,10,10,10,7.33,0,82.17,1,5
7.5,7.5,7.42,7.5,7.25,7.5,10,10,10,7.5,0,82.17,0,2
7.67,7.5,7.25,7.5,7.5,7.33,10,10,10,7.42,0,82.17,0,8
7.5,7.67,7.33,7.5,7.25,7.33,10,10,10,7.5,0,82.08,0,0
7.33,7.42,7.42,7.5,7.42,7.5,10,10,10,7.5,0,82.08,0,3
7.5,7.58,7.42,7.42,7.25,7.42,10,10,10,7.42,0,82,0,1
7.17,7.5,7.42,7.42,7.58,7.5,10,10,10,7.42,0,82,0,0
7.42,7.42,7.42,7.33,7.58,7.33,10,10,10,7.5,0,82,1,8
7.42,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,0,82,0,2
7.67,7.33,7.25,7.67,7.42,7.25,10,10,10,7.42,0,82,0,0
7.5,7.5,7.33,7.5,7.33,7.33,10,10,10,7.42,0,81.92,0,2
7.33,7.42,7.33,7.42,7.58,7.42,10,10,10,7.42,0,81.92,0,1
